写法,类别,作者看到的含义,主参数,可选参数/标记,默认与别名解析,编译到底层哈语言,等待语义,状态,示例,备注
@waitMove,同步,等待移动脚本结束,无,timeout:<Frames>,无默认超时,WAIT_MOVE [timeout],move,stable,@waitMove,保留 EvtMoveCheck 语义
@waitTask,同步,等待注册功能,WaiterAlias,无,WaiterAlias 查 waiters,WAIT_FN rawKey,wait_fn,stable,@waitTask MapTransfer,作者不接触 MAP_TRANSFER
@after,时间线,若干帧后执行一条命令,Frames,[inline command],内联内容必须降级为单条底层命令,TL frames compiledCommand,none,stable,@after 15 [sfx Door],v2.0 不接受多语句块
@afterText,时间线,当前/下一条消息完成后执行一条命令,[inline command],无,内联内容必须降级为单条底层命令,MTL compiledCommand,message,stable,@afterText [hide Noel],对应 MTL
@flush,时间线,立即执行延迟队列,timeline|text,无,默认 timeline,DOTL 或 DOMTL,none,stable,@flush text,显式区分两种队列
@clear,时间线,放弃延迟队列,timeline|text,无,默认 timeline,CLEARTL 或 CLEARMTL,none,stable,@clear timeline,不会执行被清除命令
@sfx,音频,播放音效,SfxAlias,无,SfxAlias 查 audio.sfx,SND rawSound,none,stable,@sfx Door,作者不接触音效资源 ID
@loadBgm,音频,预加载 BGM,BgmAlias,mode:<Mode>,BgmAlias 查 audio.bgm,LOAD_BGM rawBgm [mode],none,stable,@loadBgm Museum,明确是预加载，不伪装成播放
@stopBgm,音频,暂停当前 BGM,无,time:<Frames>,time 默认由引擎决定,STOP_BGM [frames],none,stable,@stopBgm time:150,保留暂停语义
@resumeBgm,音频,恢复当前 BGM,无,time:<Frames>,time 默认由引擎决定,START_BGM [frames],none,stable,@resumeBgm time:60,不是切换曲目
@voice,音频,播放玩家/角色语音,Actor.Voice|VoiceAlias,无,查 actor.voices 或共享 voices,PR_VOICE rawVoice,none,stable,@voice Noel.Sigh,当前稳定目标为玩家语音接口
@vibrate,输入,播放手柄震动预设,PatternAlias,无,PatternAlias 可展开多个 raw pattern,PVIB rawPattern...,none,stable,@vibrate StrongShort,避免脚本写多个振动参数
@choice,选择,添加选项并缩进书写结果,"""Text""",if:<Expr> lock! selected!,结果块由缩进确定；内部标签自动生成,SELECTARRAY 系列 + 自动 LABEL/GOTO,input,experimental,"@choice ""进去""
    @call MuseumInside",需用真实脚本确认最终触发序列
@set,流程,设置/计算局部变量,assignment,无,字符串和数值表达式由解析器区分,name=value 或 name=~expr,none,stable,@set score += 1,支持 =、+=、-=、?=
@if,流程,条件块,Expr,无,块由缩进确定,IF 'expr' { ... },none,stable,@if score >= 3,不要求作者写花括号
@else,流程,否则块,无,无,必须紧跟 @if 块,ELSE { ... },none,stable,@else,缩进与 @if 对齐
@goto,流程,跳到标签/事件端点,#Label|EventAlias#Label,if:<Expr>,EventAlias 可省略；本地标签直接解析,GOTO 或条件 IF+GOTO,none,stable,@goto #Leave,目标必须存在
@call,流程,调用后返回,EventAlias,args:<List>,EventAlias 查 events,CHANGE_EVENT2 rawEvent args...,none,stable,@call FarmRule,对应插入事件
@jump,流程,替换当前事件,EventAlias,args:<List>,EventAlias 查 events,CHANGE_EVENT rawEvent args...,none,stable,@jump Ending,目标结束后不回当前事件
@return,流程,结束当前事件/返回调用方,无,无,无,SEEK_END,none,stable,@return,CHANGE_EVENT2 中相当于返回
@flag,状态,设置布尔开关,FlagAlias,on! off! value:<Bool>,FlagAlias 查 flags；on! 为默认,GFB_SET rawKey 0|1,none,stable,@flag MuseumOpened on!,统一 GFB_SET/GFB_PUT
@number,状态,设置数值状态,NumberAlias,value:<Number|Expr>,NumberAlias 查 numbers,GFC_SET rawKey value,none,stable,@number VisitCount value:3,统一 GFC_SET/GFC_PUT
@quest,状态,推进任务,QuestAlias,step:<Int> args:<List>,QuestAlias 查 quests,QUEST_PROGRESS rawQuest step args...,none,experimental,@quest Walross step:3,业务尾参需逐任务验证
@save,状态,强制自动存档,无,无,无,AUTOSAVE,none,stable,@save,统一 AUTOSAVE/AUTO_SAVE
@alert,UI,显示左下角提示,TextAlias,style:<AlertStyle>,style 默认 normal；TextAlias 由文本表解析,UIALERT rawText rawStyle,none,stable,@alert InventoryFull style:error,隐藏 ALERT_* 原始枚举
@shop,UI,打开商店并等待关闭,ShopAlias,pos:<Position>,ShopAlias 查 shops；pos 默认 center,ITEMSTORE rawShop rawPos,wait_fn,stable,@shop CityStore,位置别名转商店位置预设
@reloadShop,UI,刷新商店基础数据,ShopAlias,无,ShopAlias 查 shops,ITEMSTORE_RELOAD_BASIC rawShop,none,stable,@reloadShop CityStore,不打开商店
@tutorial,UI,显示教程卡片,TextAlias,image:<VisualAlias> time:<Frames>,image 可省略；time 默认项目值,TUTO_CAP rawImage rawText time,none,stable,@tutorial DashHint image:UI.Dash,图片和文字均走别名
@movie,UI,播放教程视频,MovieAlias,a:<Int> b:<Int>,MovieAlias 查 movies,TUTO_CAP_MOVIE rawMovie a b,none,stable,@movie WaterTutorial,隐藏 Tuto_mp4 路径
@weather,世界,设置天气,WeatherAlias,无,WeatherAlias 查 weather；省略则用引擎随机,WEATHER [rawWeather],none,stable,@weather HeavyMist,作者不写 mist_dense
@reloadMap,世界,重载当前地图素材,无,无,需要地图上下文,REMAKE_MAP,none,stable,@reloadMap,不额外推断等待
@prepareMap,世界,异步准备地图材质,MapAlias,level:<Int>,MapAlias 查 maps；level 默认 1,INIT_MAP_MATERIAL rawMap level,wait_fn,stable,@prepareMap CityFarm level:3,level>=3 保留额外 flush 语义
@texture,世界,准备存档/角色纹理,TextureAlias,wait!,TextureAlias 查 textures,PREPARE_SV_TEXTURE rawKey 0|1,wait_fn,stable,@texture NoelPose wait!,预扫描与执行阶段均参与
@outfit,玩家,更换玩家装扮,OutfitAlias,无,OutfitAlias 查 outfits,PR_OUTFIT rawOutfit,none,stable,@outfit Dojo,上下文需玩家焦点
@cure,玩家,按恢复预设治疗,CurePreset,无,CurePreset 查 cures 六元组,PR_CURE a b c d e amount,none,stable,@cure all,作者不再写六个 0/1
@key,玩家,模拟按键,KeyAlias,down! up!,默认 down!；KeyAlias 查 keys,PR_KEY_SIMULATE rawKey [0 when up],none,stable,@key Magic up!,编译器检查事件结束前是否释放
@qte,玩家,启动 QTE 预设,QteAlias,无,QteAlias 查 qte 三元组,PR_GACHA rawType count flags,wait_fn,stable,@qte Hold3,作者不写 type/count/flags
@raw,兼容,原样输出一条旧哈语言,"""Raw line""",无,不解析别名,原样输出,由原指令决定,raw,"@raw ""SMNCREATOR TARGET_SCRIPT demo""",严格模式产生 HPP9001
